repo,dependency_file,affected_test_file,bypass_method,commit_hash,commit_date,commit_author,commit_message,total_commits_to_file,description
matplotlib,lib/matplotlib/backends/backend_macosx.py,lib/matplotlib/tests/test_backend_macosx.py,subprocess (subprocess_run_helper),7f0e27ce7b5e6ce69d40363a046f49ac821b57a7,2017-05-31T20:58:39-07:00,Antony Lee,Deprecate NavigationToolbar2.dynamic_update.,146,Backend code executed in subprocess
matplotlib,lib/matplotlib/backends/backend_tkagg.py,lib/matplotlib/tests/test_backend_tk.py,subprocess (subprocess_run_helper),7f0e27ce7b5e6ce69d40363a046f49ac821b57a7,2017-05-31T20:58:39-07:00,Antony Lee,Deprecate NavigationToolbar2.dynamic_update.,239,Backend code executed in subprocess
matplotlib,lib/matplotlib/backends/backend_tkagg.py,lib/matplotlib/tests/test_backend_tk.py,subprocess (subprocess_run_helper),54689d75f12b75ee728742ffc294ff006049cadd,2017-05-31T18:14:28-07:00,Antony Lee,Trigger event loop after setting cursor.,239,Backend code executed in subprocess
matplotlib,lib/matplotlib/backends/backend_tkagg.py,lib/matplotlib/tests/test_backend_tk.py,subprocess (subprocess_run_helper),46001b89367dd819c930065ed47e7579db5fdd11,2017-03-28T10:46:59+02:00,Johannes Wienke,Unify WM_CLASS across backends,239,Backend code executed in subprocess
matplotlib,lib/matplotlib/mpl-data/stylelib/classic.mplstyle,lib/matplotlib/tests/test_style.py,importlib.resources,40d5e418e1e0e4db1c9b9ebdd6a488c01e887792,2017-02-18T12:17:46-08:00,Nelle Varoquaux,FIX small nitpicks,69,Style file loaded via package resources
matplotlib,lib/matplotlib/backends/backend_tkagg.py,lib/matplotlib/tests/test_backend_tk.py,subprocess (subprocess_run_helper),5ca32abb4633431783c415c147ee943a32208bda,2017-01-31T12:44:52-08:00,Antony Lee,Completely deprecate is_string_like.,239,Backend code executed in subprocess
matplotlib,lib/matplotlib/mpl-data/stylelib/classic.mplstyle,lib/matplotlib/tests/test_style.py,importlib.resources,b03b71a5e0ea8aae4d8ee6a21eed255401464aec,2017-01-28T11:37:55-08:00,Nelle Varoquaux,MAINT created a new private _classic_test stylesheet,69,Style file loaded via package resources
matplotlib,lib/matplotlib/backends/backend_tkagg.py,lib/matplotlib/tests/test_backend_tk.py,subprocess (subprocess_run_helper),3d74ff43298e32007060b2b108ee432cd6ddd0a2,2016-12-05T16:47:05-07:00,Ryan May,MNT: Remove unused round function in tkagg backend.,239,Backend code executed in subprocess
matplotlib,lib/matplotlib/backends/backend_tkagg.py,lib/matplotlib/tests/test_backend_tk.py,subprocess (subprocess_run_helper),70909c4d9dcaa287e57b90cb24278e5f016992ce,2016-12-01T16:59:11-08:00,Antony Lee,Cleanup: use `sorted()` whereever possible.,239,Backend code executed in subprocess
matplotlib,lib/matplotlib/mpl-data/stylelib/classic.mplstyle,lib/matplotlib/tests/test_style.py,importlib.resources,785a516f5b056ad5a85938b093772ff43087e1d5,2016-11-26T08:45:02-10:00,Eric Firing,Remove axes.hold from classic.mplstyle,69,Style file loaded via package resources
